"","Country Name","Country Code","Continent","year","Pop","Pop.fe","Pop.ma","birthrate","deathrate","lifeexp","lifeexp.fe","lifeexp.ma","ed.spend","ed.years","labour","lit.rate.per","co2","gdp","unemp","unemp.fe","unemp.ma","health.exp","medbeds","surg.pro","nurse.midwi"
"1","Afghanistan","AFG","Asia",1999,20170844,9784257,10386587,48.419,12.037,55.376,56.645,54.21,NA,6,4906827,NA,821.408,NA,NA,NA,NA,NA,NA,NA,NA
"2","Albania","ALB","Europe",1999,3108778,1543050,1565728,17.321,5.983,73.587,76.616,70.797,3.59293,8,1330854,NA,2984.938,3212119044.17089,18.3999996185303,21.3999996185303,16.3999996185303,NA,3.0299999714,NA,4.0766
"3","Algeria","DZA","Africa",1999,30623406,15103751,15519655,20.175,5.05,70.183,71.638,68.78,NA,10,8670493,NA,92045.367,48639108360.6213,NA,NA,NA,NA,NA,NA,NA
"4","American Samoa","ASM","Oceania",1999,57053,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","Andorra","AND","Europe",1999,64370,NA,NA,12.6,NA,NA,NA,NA,NA,10,NA,NA,513.38,1239876305.13531,NA,NA,NA,NA,3.2000000477,NA,3.1677
"6","Angola","AGO","Africa",1999,15866869,7969815,7897054,48.293,18.404,46.093,48.265,44.074,NA,4,6486187,NA,9156.499,6152922942.98032,NA,NA,NA,NA,NA,NA,NA
"7","Antigua and Barbuda","ATG","North America",1999,74674,39545,35129,19.943,6.328,73.705,75.15,72.167,2.75397,11,NA,NA,330.03,766198925.925926,NA,NA,NA,NA,NA,NA,3.1191
"8","Arab World","ARB","Aggregated Nations",1999,276393837,135454021,140939816,29.1436814075019,6.54340160406326,67.517688947424,69.428716732824,65.7336574755568,NA,9,80583510,64.17577,919932.956,644169176424.574,NA,NA,NA,NA,NA,NA,NA
"9","Argentina","ARG","South America",1999,36467218,18763440,17703778,19.702,7.862,73.396,76.808,69.948,4.52168,10,16082632,NA,146984.361,2.83523e+11,14.0500001907349,15.1800003051758,13.2799997329712,NA,NA,NA,NA
"10","Armenia","ARM","Asia",1999,3089022,1638219,1450803,13.062,8.583,70.944,74.07,67.579,2.23519,10,1222890,NA,3014.274,1845482181.44801,11.1999998092651,15,7.59999990463257,NA,6.1999998093,NA,NA
